  0.87
 r 0.04
 l 0.09
wandered vb 1.00
Harry's np$ 1.00
Virdon nn 1.00
yen nn 1.00
detection nn 1.00
foul jj 0.75
foul vb 0.25
wanderer nn 1.00
three-family jj 1.00
not-A nn 1.00
Dostoevsky nn 1.00
ineluctable jj 1.00
strengthens vb 1.00
amass vb 1.00
gypsies nn 1.00
Plato's np$ 1.00
nine-state jj 1.00
Republic nn 1.00
foes nn 1.00
Horne nn 1.00
nutritional jj 1.00
puckered vb 1.00
fingering vb 1.00
deflated vb 1.00
human nn 0.12
human jj 0.88
Martha nn 1.00
headquarters nn 1.00
bushwhackin' jj 1.00
Cupply nn 1.00
king's nn 1.00
twenties nn 1.00
declared vb 1.00
Passos nn 1.00
begotten vb 1.00
Hedison nn 1.00
realms nn 1.00
Boulle nn 1.00
3-hitter nn 1.00
declares vb 1.00
armaments nn 1.00
Thompson's np$ 1.00
becometh vb 1.00
automobile nn 1.00
sympathique fw 1.00
Everybody pn 1.00
repeat nn 0.12
repeat vb 0.88
massaging vb 1.00
combatted vb 1.00
repeal nn 1.00
lends vb 1.00
irksome jj 1.00
Spare jj 1.00
misunderstandings nn 1.00
galleries nn 1.00
cypress-like jj 1.00
plunking vb 1.00
blends nn 1.00
Spark nn 1.00
gestured vb 1.00
Beckstrom nn 1.00
Marion nn 1.00
woodsmoke nn 1.00
alertly advb 1.00
credulousness nn 1.00
self-imposed jj 1.00
numenous jj 1.00
bear nn 0.21
bear vb 0.79
beat nn 0.37
beat jj 0.06
beat vb 0.57
beau nn 1.00
riddles nn 1.00
motif nn 1.00
Stonehenge nn 1.00
Hanford nn 1.00
governed vb 1.00
pansy nn 1.00
fluent jj 1.00
play-girl nn 1.00
Exponents nn 1.00
beam nn 1.00
bean nn 1.00
barbital nn 1.00
befuddled vb 1.00
Jackie's np$ 1.00
sealing nn 0.25
sealing vb 0.75
collect vb 1.00
Rabbi's nn 1.00
Arab nn 1.00
refrigerators nn 1.00
misquoted vb 1.00
theft nn 1.00
testify vb 1.00
dropouts nn 1.00
high-priced jj 1.00
mama nn 1.00
whose pn 1.00
Sargent nn 1.00
imprecations nn 1.00
tramway nn 1.00
Perez nn 1.00
frenzied jj 1.00
anything pn 1.00
upshots nn 1.00
Musica fw-nn-tl 1.00
upside advb 1.00
someone's pn 1.00
Payments nn 1.00
Defining vb 1.00
valuable jj 1.00
letterman nn 1.00
Camels nn 1.00
hospitable jj 1.00
hypophysectomised vb 1.00
muggers nn 1.00
Sahjunt nn 1.00
dialects nn 1.00
marshalling vb 1.00
black-body nn 1.00
drown vb 1.00
moralist nn 1.00
Whitehall nn 1.00
Wratten nn 1.00
sparked vb 1.00
hookup nn 1.00
treelike jj 1.00
Postmaster's nn 1.00
glossary nn 1.00
Mytton nn 1.00
penman nn 1.00
checked vb 1.00
Mortar nn 1.00
1909-10 cd 1.00
Tiepolo nn 1.00
condensed vb 1.00
panorama nn 1.00
Budd nn 1.00
Champion nn 0.75
Champion nn-tl-hl 0.25
beaver nn 1.00
ancestry nn 1.00
fill-ins nn 1.00
Districts nn 1.00
towboats nn 1.00
checker nn 1.00
bile nn 1.00
Patrolman nn 1.00
stand-ins nn 1.00
woolly-headed jj 1.00
ditcher nn 1.00
ditches nn 1.00
unglamorous jj 1.00
condenser nn 1.00
H'all pn 1.00
divided vb 1.00
femme fw 1.00
bifocal jj 1.00
80th od 1.00
Balaguer nn 1.00
boring nn 0.20
boring vb 0.80
priceless jj 1.00
overindulged vb 1.00
virgin nn 0.56
virgin jj 0.44
divider nn 1.00
divides vb 1.00
emperor's nn 1.00
tablespoons nn 1.00
cantaloupe nn 1.00
applicants nn 1.00
tractors nn 1.00
following nn 0.08
following vb 0.86
following in 0.06
toilets nn 1.00
pheasant nn 1.00
clay-mining nn 1.00
rotary jj 1.00
oops uh 1.00
reviewer nn 1.00
yapping vb 1.00
Pernod nn 1.00
Buell's np$ 1.00
blouse nn 1.00
vegetarian nn 1.00
subspace nn 1.00
tripods nn 1.00
reviewed vb 1.00
calisthenics nn 1.00
spindle nn 1.00
sharp jj 1.00
oddities nn 1.00
Stepson nn 1.00
pills nn 1.00
couch nn 1.00
clinics nn 1.00
Starlings nn 1.00
comico-romantico jj 1.00
binds vb 1.00
acrobats nn 1.00
Bishop nn 1.00
Pendleton nn 1.00
Novosti nn 1.00
Citizens' nn 1.00
playwright-director nn 1.00
stance nn 1.00
fluxes nn 1.00
referred vb 1.00
blushing vb 1.00
endings nn 1.00
affectionate jj 1.00
Billy nn 1.00
Hartford nn 1.00
Diseases nn 1.00
out-of-state jj 0.83
out-of-state advb 0.17
Bills nn 1.00
Celso nn 1.00
Radiation nn 1.00
pronouncing vb 1.00
leafhopper nn 1.00
memory nn 1.00
suites nn 1.00
enduring vb 1.00
wave-particle nn 1.00
Rheims nn 1.00
well-cemented jj 1.00
suited vb 1.00
marshal nn 0.60
marshal vb 0.40
invaded vb 1.00
bloody jj 1.00
votes nn 0.85
votes vb 0.15
voter nn 1.00
Agatha nn 1.00
lava nn 1.00
Ab4,500 cd 1.00
non-taxable jj 1.00
voted vb 1.00
Allah nn 1.00
Warring vb 1.00
ends nn 0.81
ends vb 0.19
kernels nn 1.00
Riegger nn 1.00
guessing vb 1.00
trombonist nn 1.00
momentary jj 1.00
kings nn 1.00
abused vb 1.00
referendum nn 1.00
peremptory jj 1.00
mildly advb 0.71
mildly ql 0.29
time-delay nn 1.00
incite vb 1.00
swimming vb 1.00
exquisite jj 1.00
Contacts nn 1.00
Autocracies nn 1.00
abuses nn 1.00
adopt vb 1.00
network's nn 1.00
counterman nn 1.00
Salaries nn 1.00
nation-states nn 1.00
1558 cd 1.00
Virginia's np$ 1.00
1550 cd 1.00
seventeen-year-old jj 1.00
faintest jj 1.00
seemingly advb 0.80
seemingly ql 0.20
Surprisingly advb 1.00
thousand cd 1.00
galvanizing vb 1.00
smothering vb 1.00
confidences nn 1.00
fought vb 1.00
sweet-clover nn 1.00
last-mentioned jj 1.00
Chou nn 1.00
Wilson's np$ 1.00
osmium nn 1.00
Shy jj 1.00
fuss nn 0.67
fuss vb 0.33
pacemaker nn 1.00
allure nn 1.00
Shu nn 1.00
Copley nn 1.00
fuse nn 0.60
fuse vb 0.40
dive nn 0.87
dive vb 0.13
Windsor nn 1.00
Pamphili nn 1.00
She pn 1.00
ineptness nn 1.00
tar-soaked jj 1.00
looted vb 1.00
prefers vb 1.00
home-grown jj 1.00
cuckoo-bumblebee nn 1.00
Attributes nn 1.00
Primary jj 1.00
pinching vb 1.00
marinas nn 1.00
manipulating vb 1.00
injured vb 1.00
egged vb 1.00
autofluorescence nn 1.00
menaced vb 1.00
schoolmaster nn 1.00
inimical jj 1.00
beside in 1.00
enrollments nn 1.00
self-consciousness nn 1.00
Coolidge nn 1.00
Burton nn 1.00
Inferno fw-nn-tl 1.00
Londonderry nn 1.00
sacking vb 1.00
11% nn 1.00
fullbacking nn 1.00
Luise nn 1.00
flagellated vb 1.00
Luisa nn 1.00
handicaps nn 1.00
113 cd 1.00
111 cd 1.00
110 cd 1.00
phraseology nn 1.00
116 cd 1.00
115 cd 1.00
114 cd 1.00
Jutish jj 1.00
dualities nn 1.00
7287 cd 1.00
220-degrees nn 1.00
fun-filled jj 1.00
commenting vb 1.00
wickedly advb 1.00
$6,666.66 nn 1.00
rubberized vb 1.00
disturbing jj 0.88
disturbing vb 0.12
birth-control nn 1.00
moonlit jj 1.00
mollycoddle nn 1.00
unique-ingrown-screwedup jj 1.00
astronomy nn 1.00
floods nn 1.00
Screw nn 1.00
ketches nn 1.00
sleepwalker nn 1.00
Pirandello nn 1.00
concave jj 1.00
37,679 cd 1.00
Longinotti nn 1.00
comparisons nn 1.00
concerned vb 1.00
Burnside's np$ 1.00
exercising nn 0.17
exercising vb 0.83
stiffened vb 1.00
Leavitt nn 1.00
Southwest jj 0.42
Southwest nn 0.58
Unions nn 1.00
outskirt's nn 1.00
spring-training nn 1.00
catheter nn 1.00
Cargill's np$ 1.00
prolonging vb 1.00
midnight nn 1.00
bombastic jj 1.00
richly advb 0.40
richly ql 0.60
Activity nn 1.00
killable jj 1.00
build-better-for-less jj 1.00
killin' vb 1.00
topsoil nn 1.00
Vive fw 1.00
grindings nn 1.00
totemic jj 1.00
odds-on jj 1.00
spouse nn 1.00
Parliamentarians nn 1.00
Mich. nn 1.00
Juet's np$ 1.00
Technically advb 1.00
entry-limited jj 1.00
Lithe jj 1.00
Horror nn 1.00
riddling vb 1.00
thigh-bone nn 1.00
state's nn 1.00
Jude nn 1.00
dolphin nn 1.00
Kappa nn 1.00
grammatical jj 1.00
migrating vb 1.00
tinted vb 1.00
Menet nn 1.00
spill vb 1.00
Judy nn 1.00
Inter-american jj 1.00
1788 cd 1.00
Smith's np$ 1.00
surpass vb 1.00
dampen vb 1.00
+ nn 1.00
pre-Revolutionary jj 1.00
99.1 cd 1.00
38-point jj 1.00
offering nn 0.21
offering vb 0.79
inert jj 1.00
chins nn 1.00
unskilled jj 1.00
Benzell nn 1.00
brink nn 1.00
Drink vb 1.00
whimpering vb 1.00
bring vb 1.00
introduce vb 1.00
gray jj 0.92
gray nn 0.08
telephoned vb 1.00
skippers nn 1.00
grad nn 1.00
coed nn 1.00
china nn 1.00
professionalism nn 1.00
prisoner nn 1.00
grab nn 0.25
grab vb 0.75
gram nn 1.00
Evergreen jj 1.00
enemy nn 1.00
dictatorship nn 1.00
teensy jj 1.00
stratagem nn 1.00
Massimo nn 1.00
roaring nn 0.22
roaring vb 0.78
leakage nn 1.00
Chestnuts nn 1.00
repairmen nn 1.00
tiger's nn 1.00
1785 cd 1.00
Cheyennes nn 1.00
lived vb 1.00
sped vb 1.00
settle vb 1.00
strapped vb 1.00
Congressman nn 0.93
Congressman nn-tl-hl 0.07
Ozzie nn 1.00
Seaton's np$ 0.50
Seaton's np+ 0.50
rescue nn 0.57
rescue vb 0.43
acoustical jj 1.00
sweetheart-secretary nn 1.00
curt jj 1.00
Psychologically advb 1.00
perky jj 1.00
resembled vb 1.00
Government nn 1.00
steamily ql 1.00
DTF nn 1.00
curd nn 1.00
cure nn 0.57
cure vb 0.43
curb nn 0.92
curb vb 0.08
northerner nn 1.00
curl vb 1.00
sea-damp nn 1.00
resembles vb 1.00
Colefax nn 1.00
lingo nn 1.00
averages nn 1.00
mackerel nn 1.00
syntactical jj 1.00
Rhythm nn 1.00
Sixteenth od 1.00
Berman nn 1.00
averaged vb 1.00
Firearms nn 1.00
November nn 1.00
trapper's nn 1.00
Include vb 1.00
Apollo nn 1.00
overboard advb 1.00
compelled vb 1.00
Syria nn 1.00
tiptoeing vb 1.00
Provincetown nn 1.00
crowned vb 1.00
Blues nn 1.00
uttermost nn 1.00
Kalamazoo nn 1.00
pound-of-flesh nn 1.00
youths nn 1.00
name-dropper nn 1.00
Mercenary nn 1.00
thrive vb 1.00
populate vb 1.00
Troops nn 1.00
Malone nn 1.00
table-top nn 1.00
thereafter advb 1.00
fawning vb 1.00
Spa nn 1.00
Boissoneault nn 1.00
Mass jj 0.11
Mass nn 0.89
retranslated vb 1.00
robin nn 1.00
Masu nn 1.00
References nn 1.00
paneling nn 1.00
non-discrimination nn 1.00
Liberty-and-Union nn 1.00
vestige nn 1.00
compress vb 1.00
P. nn 1.00
dividends nn 1.00
near-synonyms nn 1.00
F.S.C. nn 1.00
contrast nn 0.93
contrast vb 0.07
Spectra nn 1.00
208-pound jj 1.00
inspector's nn 1.00
controller nn 1.00
Kwango nn 1.00
Oakland nn 1.00
Corpus nn 1.00
PQ nn 1.00
compare vb 1.00
jokers nn 1.00
15-1 cd 1.00
receipt nn 1.00
puffing vb 1.00
PM nn 1.00
Bracken nn 1.00
unearth vb 1.00
canister nn 1.00
coalesced vb 1.00
trials nn 1.00
cornbread nn 1.00
gauss nn 1.00
Interfaith jj 1.00
8-b-2 cd 1.00
Forties nn 1.00
archaic jj 1.00
Pi nn 1.00
Po nn 1.00
coalesces vb 1.00
Schwartz nn 1.00
Pa nn 1.00
vetoed vb 1.00
Individual jj 1.00
Princes nn 1.00
Emptied vb 1.00
Baldy nn 1.00
Nope advb 1.00
protrude vb 1.00
reader's nn 1.00
Check vb 1.00
Mon-Columbia nn 1.00
ellipsoid nn 1.00
kick nn 0.73
kick vb 0.27
Turin nn 1.00
fungus nn 1.00
bugler nn 1.00
chauffeur's nn 1.00
Dynasts nn 1.00
coincidence nn 1.00
fugual jj 1.00
leathered vb 1.00
Woodruff's np$ 1.00
fine-boned jj 1.00
Steichen nn 1.00
deserves vb 1.00
humanistic jj 1.00
felonious jj 1.00
Representatives nn 1.00
infantryman nn 1.00
Alternate jj 1.00
Raiders' nn 1.00
formed-tooth nn 1.00
healer nn 1.00
Curiae fw-nn$-tl 1.00
deserved vb 1.00
stinking vb 1.00
F.D.R. nn 1.00
subhumanity nn 1.00
one-plane nn 1.00
sainthood nn 1.00
Eduard nn 1.00
painlessly advb 1.00
xenophobia nn 1.00
eyed vb 1.00
thum pn 1.00
54,320 cd 1.00
dismembered vb 1.00
companion nn 1.00
eyes nn 1.00
saleslady nn 1.00
incitements nn 1.00
Wind nn 1.00
Wine nn 1.00
prefab jj 1.00
slave-laborers nn 1.00
brutality nn 1.00
great jj 0.97
great advb 0.00
great ql 0.02
overshadowed vb 1.00
soft- jj 1.00
Villa nn 1.00
Halloween nn 1.00
monograph nn 1.00
theoriticians nn 1.00
motto nn 1.00
slips nn 0.88
slips vb 0.12
deputy jj 0.10
deputy nn 0.90
Transpiration nn 1.00
young jj 0.99
young nn 0.01
endearing jj 1.00
coupon nn 1.00
non-success nn 1.00
age-and-sex nn 1.00
scared vb 1.00
60-1 cd 1.00
transposition nn 1.00
plots nn 0.88
plots vb 0.12
Temple nn 1.00
Hatters nn 1.00
Sept nn 1.00
1932-33 cd 1.00
synonym nn 1.00
Borrioboola-Gha nn 1.00
wintry jj 1.00
Komurasaki nn 1.00
Publishing vb 1.00
officiated vb 1.00
affront nn 1.00
dearest jj 1.00
merchant nn 1.00
tunnel nn 0.90
tunnel vb 0.10
erred vb 1.00
aversion nn 1.00
lovelies nn 1.00
glands nn 1.00
mom nn 1.00
Bella nn 1.00
hot-slough jj 1.00
Spontaneity nn 1.00
Belle nn 1.00
One cd 0.82
One pn 0.18
Bells nn 1.00
undisciplined jj 1.00
delving vb 1.00
Pavlovitch nn 1.00
fanaticism nn 1.00
zoology nn 1.00
Encouraged vb 1.00
firemen nn 1.00
come vb 1.00
absentmindedly advb 1.00
Greylag nn 1.00
comb nn 1.00
nihilistic jj 1.00
refusing vb 1.00
suburban jj 1.00
stature nn 1.00
transition nn 1.00
headline nn 1.00
await vb 1.00
Cards nn 1.00
distortion nn 1.00
Fahrenheit nn 1.00
Elmer nn 1.00
payment nn 1.00
9th od 1.00
detectives nn 1.00
initiating vb 1.00
restrict vb 1.00
Kempe nn 1.00
6:35 cd 1.00
overdoing vb 1.00
6:30 cd 1.00
question-and-answer nn 1.00
intimal jj 1.00
implausibly advb 1.00
feedings nn 1.00
Tara nn 1.00
person-to-person nn 1.00
Goyette nn 1.00
rhythms nn 1.00
7:25 cd 1.00
P.M. advb 1.00
Bursting vb 1.00
Noctiluca nn 1.00
Boy-Marquita nn 1.00
midweek nn 1.00
Nuovo fw-jj-tl 1.00
anomic jj 1.00
months' nn 1.00
Tiveden nn 1.00
ticklebrush nn 1.00
Sherlock nn 1.00
Jumping uh 1.00
family-community nn 1.00
enforcing vb 1.00
fox's nn 1.00
boathouses nn 1.00
omissions nn 1.00
Hiring vb 1.00
Antonio nn 1.00
Jonquieres nn 1.00
tragi-comic jj 1.00
postgraduate nn 0.33
postgraduate jj 0.67
midday nn 1.00
flatiron nn 1.00
latch nn 0.80
latch vb 0.20
dictionary's nn 1.00
pose nn 0.18
pose vb 0.82
Rowley nn 1.00
helps nn 0.07
helps vb 0.93
pitiable jj 1.00
birthplace nn 1.00
Culturally advb 1.00
picnickers nn 1.00
dejectedly advb 1.00
tripolyphosphate nn 1.00
post nn 0.90
post fw 0.02
post vb 0.03
post in 0.05
1780 cd 1.00
violin nn 1.00
Aniseikonic jj 1.00
Boatel nn 1.00
shutting vb 1.00
Triamcinolone nn 1.00
re-establishing vb 1.00
Democrats nn 1.00
Schiele nn 1.00
loose jj 0.77
loose advb 0.15
loose nn 0.02
loose vb 0.06
foundation-stone nn 1.00
invent vb 1.00
reforming vb 1.00
unfounded jj 1.00
unmanageably ql 1.00
statewide jj 0.85
statewide advb 0.15
metamorphic jj 1.00
touch nn 0.63
touch vb 0.37
Administrative jj 1.00
derangement nn 1.00
cat-like jj 1.00
taming vb 1.00
accomplishes vb 1.00
unmanageable jj 1.00
Lefty nn 1.00
percolator nn 1.00
Carolingian jj 1.00
aghast jj 1.00
smolders vb 1.00
forgotten vb 1.00
air-conditioning nn 1.00
1755 cd 1.00
1751 cd 1.00
1750 cd 1.00
steward nn 1.00
Katherine nn 1.00
planning nn 0.37
planning vb 0.63
tacking vb 1.00
blots nn 0.75
blots vb 0.25
ceramic jj 1.00
Ethiopians nn 1.00
hemoglobin nn 1.00
trumpet nn 0.86
trumpet vb 0.14
Geraldine nn 1.00
seventy cd 1.00
lake nn 1.00
ace nn 1.00
federalism nn 1.00
unchangeable jj 1.00
Trachea nn 1.00
giveaway nn 1.00
Drug nn 1.00
Mocking vb 1.00
Drum nn 1.00
act nn 0.56
act vb 0.44
Unckle nn 1.00
cohesively advb 1.00
Procurement nn 1.00
3.98 cd 1.00
buried vb 1.00
ferries nn 1.00
top-grade nn 1.00
wayside nn 1.00
Shore nn 1.00
scrambling vb 1.00
Kauffmann nn 1.00
cross-purposes nn 1.00
dinners nn 1.00
beaten vb 1.00
Hinkle nn 1.00
Mothers' nn 1.00
fy nn 1.00
mutilated vb 1.00
zebra nn 1.00
channels nn 1.00
corruption nn 1.00
virginity nn 1.00
uttering vb 1.00
headache nn 1.00
unendurable jj 1.00
Goodwill nn 1.00
Shuiski nn 1.00
unassisted jj 1.00
Anthony nn 1.00
disastrous jj 1.00
junior's nn 1.00
invisibly advb 1.00
Kilhour nn 1.00
der fw-at-tl 0.50
der nn 0.50
des fw-in+at 0.50
des fw-in+at-tl 0.50
yaws nn 1.00
shaded vb 1.00
Americana nn 1.00
glorified vb 1.00
comic jj 0.88
comic nn 0.12
yawn nn 0.50
yawn vb 0.50
middle-sized jj 1.00
shades nn 1.00
sepulchred vb 1.00
del fw-in+at-tl 1.00
fear nn 0.76
fear vb 0.24
overrated vb 1.00
Marie nn 1.00
Bandish nn 1.00
Dickens' np$ 1.00
Maria nn 1.00
Breton nn 1.00
NAREB's nn 1.00
rutabaga nn 1.00
Marin nn 1.00
Mario nn 1.00
toweling nn 1.00
Woman's nn 1.00
IOCS nn 1.00
Maris nn 1.00
foregone vb 1.00
abruptness nn 1.00
Maxim's np$ 1.00
immodesty nn 1.00
resettling vb 1.00
bleak jj 1.00
recover vb 1.00
Auntie nn 1.00
Coal nn 1.00
Lew's np$ 1.00
world-at-large nn 1.00
Constantinople nn 1.00
thereupon advb 1.00
bleat nn 1.00
Amory nn 1.00
goin vb 1.00
Minks nn 1.00
cases nn 1.00
taps nn 1.00
Unique jj 1.00
placing nn 0.08
placing vb 0.92
Jacobean jj 1.00
twisted vb 1.00
Drake nn 1.00
accompaniment nn 1.00
tape nn 1.00
niceties nn 1.00
cased vb 1.00
Neesen nn 1.00
no-o advb 1.00
Gentleman nn 1.00
Wordsworth nn 1.00
Valedictorian nn 1.00
twister nn 1.00
Mahzeer's np$ 0.60
Mahzeer's np+ 0.40
Beige's np$ 1.00
state-local jj 1.00
Secretary-designate nn 1.00
centers nn 0.87
centers vb 0.13
Grove nn 0.71
Grove nn-tl-hl 0.29
personalities nn 1.00
Saliva nn 1.00
T.W. nn 1.00
squeals nn 1.00
Fetch vb 1.00
bebop nn 1.00
skirts nn 0.75
skirts vb 0.25
Permian jj 1.00
branded vb 1.00
immoderate jj 1.00
surf nn 1.00
adaptation nn 1.00
gnawed vb 1.00
sure jj 0.93
sure advb 0.07
sure vb 0.00
reproducibly advb 1.00
Petite jj 1.00
n-trial nn 1.00
willya md+p 1.00
approached vb 1.00
envision vb 1.00
accelerometers nn 1.00
Confucianism nn 1.00
log-house nn 1.00
cruise nn 1.00
reproducible jj 1.00
annually advb 1.00
approaches nn 0.68
approaches vb 0.32
Mamma nn 1.00
monsoon nn 1.00
rowdy jj 0.75
rowdy nn 0.25
45.6 cd 1.00
Fokine's np$ 1.00
Clay nn 1.00
prospers vb 1.00
glaciers nn 1.00
Clad vb 1.00
infiltrated vb 1.00
Classes nn 1.00
Lautner nn 1.00
Offensive jj 1.00
continue vb 1.00
Adjoining vb 1.00
stateroom nn 1.00
mineralogical jj 1.00
continuo fw 1.00
southbound jj 1.00
lurks vb 1.00
scientifically advb 1.00
Ditch nn 1.00
Faulkner's np$ 1.00
acquittal nn 1.00
foundations nn 1.00
Abolitionists nn 1.00
slow-firing jj 1.00
Garnett nn 1.00
Strangely advb 1.00
Savoyards nn 1.00
voluntarily advb 1.00
chiropractor nn 1.00
Edwina nn 1.00
shouting nn 0.09
shouting vb 0.91
Decathlon nn 1.00
microorganisms nn 1.00
organization-position nn 1.00
Euratom nn 1.00
peonies nn 1.00
clamped vb 1.00
2,417 cd 1.00
Theocracy nn 1.00
2,418 cd 1.00
varicolored jj 1.00
porous jj 1.00
workshops nn 1.00
19-12 cd 1.00
extruding vb 1.00
conductors nn 1.00
extravagant jj 1.00
Haaek nn 1.00
cleared vb 1.00
Zeising nn 1.00
unfolds vb 1.00
Fleisher nn 1.00
downward jj 0.50
downward advb 0.50
vague jj 1.00
organs nn 1.00
invariable jj 1.00
clearer jj 1.00
Israelites nn 1.00
relented vb 1.00
Midshipman nn 1.00
$37,500 nn 1.00
muscle-bound jj 1.00
reactionary jj 0.67
reactionary nn 0.33
Crosson nn 1.00
traps nn 0.88
traps vb 0.12
tumble nn 0.67
tumble vb 0.33
furled vb 1.00
pseudophloem nn 1.00
hardtack-box nn 1.00
rides nn 0.60
rides vb 0.40
rider nn 1.00
tokens nn 1.00
watchers nn 1.00
accesses nn 1.00
Kikiyus nn 1.00
touchdowns nn 1.00
3500 cd 1.00
embraces nn 0.25
embraces vb 0.75
Pornographer nn 1.00
Rickshaw nn 1.00
whaddya wdt+ber+pp 1.00
Astin nn 1.00
brisk jj 1.00
renovation nn 1.00
Bumblebees nn 1.00
Schwada nn 1.00
bands nn 1.00
adobe nn 1.00
Rosy jj 1.00
forum nn 1.00
recommending vb 1.00
Socialization nn 1.00
OK. uh 1.00
Gratified vb 1.00
Cigarette nn 1.00
festivities nn 1.00
inviolable jj 1.00
stooping vb 1.00
Calls vb 1.00
curing vb 1.00
bewildered vb 1.00
dauntless jj 1.00
UPI nn 1.00
substrate nn 1.00
$325 nn 1.00
2:05 cd 1.00
2:06 cd 1.00
Loeser nn 1.00
SEATO nn 1.00
2:02 cd 1.00
2:03 cd 1.00
Harris's np$ 1.00
Woodruff nn 1.00
moneymaking jj 1.00
regarded vb 1.00
programs nn 1.00
spoil vb 1.00
Athenian jj 1.00
post-mortem nn 1.00
significant jj 1.00
coated vb 1.00
thoroughfare nn 1.00
conservative-liberal jj 1.00
cancelling vb 1.00
Volunteer nn 1.00
bale nn 1.00
bald jj 1.00
hurler nn 1.00
ball nn 1.00
graves nn 1.00
fraternize vb 1.00
urban jj 1.00
over-pretended jj 1.00
larger jj 1.00
two-by-fours nn 1.00
circles nn 1.00
distinguishing vb 1.00
heartfelt jj 1.00
stud nn 1.00
Bobbie's np$ 1.00
Lonsdale's np$ 1.00
anyplace advb 1.00
Jean-Marie nn 1.00
vivid jj 1.00
follow-up jj 0.71
follow-up nn 0.29
surrealists nn 1.00
onetime jj 1.00
similarity nn 1.00
circled vb 1.00
Long-term nn 1.00
trafficked vb 1.00
oud fw 1.00
burgeoning vb 1.00
32*0C. nil 1.00
remembering nn 0.07
remembering vb 0.93
Darling nn 1.00
conic nn 1.00
pseudo-patriotism nn 1.00
stamens nn 1.00
out advb 0.79
out pn 0.00
out in 0.21
mathematics nn 1.00
mill-wheel nn 1.00
our pn 1.00
Dresbach nn 1.00
magician's nn 1.00
racial jj 1.00
argue vb 1.00
Stardel nn 1.00
Chevrolet nn 1.00
semi-rigid jj 1.00
aisle nn 1.00
electronic jj 1.00
barbecue nn 0.92
barbecue vb 0.08
enthralled vb 1.00
unsupportable jj 1.00
they're ppss+ber 1.00
recoiled vb 1.00
replacements nn 1.00
Pledge nn 1.00
split nn 0.28
split vb 0.72
Dragoslav nn 1.00
molecule nn 1.00
quickly advb 1.00
nucleoli nn 1.00
Whitehead nn 1.00
roomful nn 1.00
mantrap nn 1.00
crowded vb 1.00
Rights nn 1.00
husband-wife jj 1.00
marbleized vb 1.00
preliterate jj 1.00
floured vb 1.00
Officer nn 1.00
detractor nn 1.00
command nn 0.83
command vb 0.17
summarization nn 1.00
Bayreuth nn 1.00
echoes nn 1.00
socialization nn 1.00
roadster nn 1.00
aerobic jj 1.00
herein advb 1.00
Idealist nn 1.00
growth-stunting jj 1.00
unenviable jj 1.00
642 cd 1.00
who'd wps+ 0.75
who'd pn 0.25
vistas nn 1.00
iodinating vb 1.00
disbelieve vb 1.00
jovial jj 1.00
poultry-loving jj 1.00
representing vb 1.00
Hotels nn 1.00
composition nn 1.00
drahve vb 1.00
conserving vb 1.00
layers nn 1.00
Closed vb 1.00
Maid nn 1.00
Structures nn 1.00
Nagle nn 1.00
27,000 cd 1.00
Closer advb 1.00
ml. nn 1.00
confident jj 1.00
Neuberger nn 1.00
beef's nn 1.00
place-names nn 1.00
bastards nn 1.00
script's nn 1.00
knott nn 1.00
synthesize vb 1.00
more nil 0.00
more dt 0.44
more advb 0.09
more ql 0.47
knots nn 1.00
Workmen nn 1.00
valid jj 1.00
Civilian jj 1.00
Transit nn 1.00
ceremonies nn 1.00
exterior jj 0.62
exterior nn 0.38
tallyho nn 1.00
roles nn 1.00
dunes nn 1.00
soothing vb 1.00
Beloved jj 1.00
relinquished vb 1.00
Baldwin nn 1.00
brilliantly advb 0.78
brilliantly ql 0.22
l'Independance fw-at+nn-tl 1.00
towards in 1.00
ninety-six cd 1.00
leaves nn 0.46
leaves vb 0.54
photography nn 1.00
Football nn 1.00
Emancipation nn 1.00
Herr nn 1.00
photographs nn 0.88
photographs vb 0.12
Hero nn 1.00
unloads vb 1.00
idle jj 0.92
idle vb 0.08
Here advb 1.00
ultracentrifugally advb 1.00
Herb nn 1.00
Comfortably advb 1.00
Renoir nn 1.00
Portwatchers' nn 1.00
unpleasant jj 1.00
mudwagon nn 1.00
rouse vb 1.00
314 cd 1.00
Elections nn 1.00
copper nn 0.92
copper jj 0.08
titian-haired jj 1.00
312 cd 1.00
team's nn 1.00
Pimen nn 1.00
foamed-core nn 1.00
forthcoming jj 0.91
forthcoming nn 0.09
miners nn 1.00
sneaked vb 1.00
Cold jj 0.90
Cold nn 0.10
collage nn 1.00
muezzin nn 1.00
Swelling vb 1.00
discrepancy nn 1.00
transferred vb 1.00
effectual jj 1.00
jackass nn 1.00
ocelot nn 1.00
expend vb 1.00
Macaulay nn 1.00
testimonials nn 1.00
selectors nn 1.00
questionnaire nn 1.00
Kohnstamm-negative jj 1.00
balance-of-payments nn 1.00
coping vb 1.00
glow nn 0.87
glow vb 0.13
conversations nn 1.00
Composite nn 0.75
Composite jj 0.25
suppleness nn 1.00
Capitol nn 1.00
Khan nn 1.00
Carolinians nn 1.00
incisiveness nn 1.00
roars vb 1.00
Gosson's np$ 1.00
Santayana's np$ 1.00
Garibaldi's np$ 1.00
Provisional jj 1.00
Evangelical jj 1.00
Dietrich nn 1.00
skilful jj 1.00
conspiracies nn 1.00
inclination nn 1.00
home-bound jj 1.00
extra jj 0.96
